update|A|1634125800.000000|ris|rrc20|None|None|48550|2001:7f8:24::9d|2607:5300::/32|2001:7f8:24::9d|48550 58299 16276|48550:1004 48550:1000 58299:1100|None|None
update|A|1634125815.000000|ris|rrc20|None|None|25091|91.206.52.117|15.235.128.0/17|91.206.52.117|25091 16276|65300:16276 26276:25425|None|None
update|A|1634125815.000000|ris|rrc20|None|None|25091|91.206.52.117|51.79.128.0/17|91.206.52.117|25091 16276|65300:16276 26276:25425|None|None
update|A|1634125815.000000|ris|rrc20|None|None|25091|91.206.52.117|139.99.0.0/17|91.206.52.117|25091 16276|65300:16276 26276:25425|None|None
update|A|1634125819.000000|ris|rrc20|None|None|25091|91.206.52.117|51.161.128.0/17|91.206.52.117|25091 16276|65300:16276 26276:25425|None|None
update|A|1634125819.000000|ris|rrc20|None|None|25091|91.206.52.117|139.99.128.0/17|91.206.52.117|25091 16276|65300:16276 26276:25425|None|None
update|A|1634125848.000000|ris|rrc22|None|None|57050|86.104.125.53|139.99.128.0/17|86.104.125.53|57050 8708 4637 16276|8708:302|None|None
update|A|1634125849.000000|ris|rrc22|None|None|57050|86.104.125.53|198.27.92.0/24|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125850.000000|ris|rrc22|None|None|57050|86.104.125.53|195.110.30.0/23|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125850.000000|ris|rrc22|None|None|57050|86.104.125.53|217.182.0.0/16|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125850.000000|ris|rrc22|None|None|57050|86.104.125.53|213.251.128.0/18|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125850.000000|ris|rrc22|None|None|57050|86.104.125.53|213.186.32.0/19|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125850.000000|ris|rrc22|None|None|57050|86.104.125.53|213.32.0.0/17|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125850.000000|ris|rrc22|None|None|57050|86.104.125.53|198.244.128.0/17|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125850.000000|ris|rrc22|None|None|57050|86.104.125.53|195.246.232.0/23|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125851.000000|ris|rrc22|None|None|57050|86.104.125.53|139.99.128.0/17|86.104.125.53|57050 8708 4637 16276|8708:302|None|None
update|A|1634125855.000000|ris|rrc22|None|None|57050|86.104.125.53|195.110.30.0/23|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125855.000000|ris|rrc22|None|None|57050|86.104.125.53|213.32.0.0/17|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125855.000000|ris|rrc22|None|None|57050|86.104.125.53|213.186.32.0/19|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125855.000000|ris|rrc22|None|None|57050|86.104.125.53|213.251.128.0/18|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125855.000000|ris|rrc22|None|None|57050|86.104.125.53|217.182.0.0/16|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125855.000000|ris|rrc22|None|None|57050|86.104.125.53|198.244.128.0/17|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125855.000000|ris|rrc22|None|None|57050|86.104.125.53|195.246.232.0/23|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125855.000000|ris|rrc22|None|None|57050|86.104.125.53|198.27.92.0/24|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|5.39.0.0/17|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|217.182.0.0/16|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|213.251.128.0/18|86.104.125.53|57050 8708 16276|8708:302|None|None
update|A|1634125857.000000|ris|rrc22|None|None|57050|86.104.125.53|213.186.32.0/19|86.104.125.53|57050 8708 16276|8708:302|None|None
